selection_rank,selection_score,selection_band,compiler_action,record_class,source_note_status,selection_flags,country_risk_level,country_risk_score,primary_chapter_country,countries,sort_date,display_date,volume_date_scope,document_type,title,subject_or_context,priority_or_release_status,source_score,page_count_or_range,themes_or_topics,same_date_diary_backup_count,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_private_records_14_days,nearby_public_statement_count_7_days,source_series,source_folder_or_title,source_note,provenance_note,pdf_url,catalog_or_details_url,page_link,record_id
11,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Colombia,"Colombia; Ecuador; Peru",1989-10-30,"October 30, 1989",Volume date range,Memorandum of Telephone Conversation,Telephone Conversation with President Barco,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,90,90,"narcotics; presidential diplomacy",,,,+0d 1989-10-30 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/470766564,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf#page=90,subject-print-470766564-90-memorandum-of-telephone-conversation
12,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Colombia,"Colombia; Peru",1989-12-27,"December 27, 1989",Volume date range,Memorandum,"Andean Summit -- First Good News, Then Bad, Then Good","memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, panama spillover; document text visible in OCR",High,90,40,"narcotics; presidential diplomacy; panama spillover",,,,-7d 1989-12-20 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"December 16, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-015, December 16, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-015.pdf,https://catalog.archives.gov/id/470766472,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-015.pdf#page=40,chronological-print-470766472-40-memorandum
13,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Peru,Peru,1989-05-22,"May 22, 1989",Volume date range,Memorandum,Possible Call to the President from Peruvian,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, regional policy; document text visible in OCR",High,90,59,"narcotics; presidential diplomacy; regional policy",,,,-9d 1989-05-13 - Memorandum of Telephone Conversation,,Latin American Directorate Chronological Files,"May 16, 1989-May 30, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-014, May 16, 1989-May 30, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf,https://catalog.archives.gov/id/470766431,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-014.pdf#page=59,chronological-print-470766431-59-memorandum
14,140,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Peru,Peru,1989-05-22,"May 22, 1989",Volume date range,Memorandum,Possible Call to the President from Peruvian,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy, regional policy; document text visible in OCR",High,90,80,"narcotics; presidential diplomacy; regional policy",,,,-9d 1989-05-13 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Peru - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-003, Peru - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2001-0010-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf,https://catalog.archives.gov/id/470766518,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf#page=80,subject-print-470766518-80-memorandum
15,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Bolivia,Bolivia,1989-05-11,"May 11, 1989",Volume date range,Memorandum,Recommendation for Telephone Call by the,"memorandum form; Presidential or NSC principals; narcotics, democracy, presidential diplomacy; document text visible in OCR",High,90,56,"narcotics; democracy; presidential diplomacy; regional policy",,,,,,Latin American Directorate Chronological Files,"May 16, 1989-May 30, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-015, May 16, 1989-May 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf,https://catalog.archives.gov/id/470766432,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-015.pdf#page=56,chronological-print-470766432-56-memorandum
16,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Chile,Chile,1989-03-03,"March 3, 1989",Volume date range,Memorandum,Guidance for Ambassador Gillespie (U),"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR",High,90,68,"democracy; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=68,subject-print-470766562-68-memorandum
17,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Chile,Chile,1989-03-06,"March 6, 1989",Volume date range,Memorandum,Guidance for Ambassador Gillespie (U),"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR",High,90,51,"democracy; presidential diplomacy",,,,,,Latin American Directorate Chronological Files,"March 1, 1989-March 16, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-013, March 1, 1989-March 16, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf,https://catalog.archives.gov/id/470766414,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-013.pdf#page=51,chronological-print-470766414-51-memorandum
18,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Chile,Chile,1989-05-03,"May 3, 1989",Volume date range,Memorandum,Request by Ambassador Gillespie for Meeting With,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR",High,90,98,"democracy; presidential diplomacy",,,,,,Latin American Directorate Chronological Files,"May 1, 1989-May 15, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00301, CF00301-012, May 1, 1989-May 15, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-012.pdf,https://catalog.archives.gov/id/470766429,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00301-012.pdf#page=98,chronological-print-470766429-98-memorandum
19,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Chile,Chile,1989-05-03,"May 3, 1989",Volume date range,Memorandum,Request by Ambassador Gillespie for Meeting With,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR",High,90,42,"democracy; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=42,subject-print-470766562-42-memorandum
20,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Chile,Chile,1989-08-18,"August 18, 1989",Volume date range,Memorandum,Request That You Meet with the Chilean Chief of,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, ussr/cuba; document text visible in OCR",High,90,54,"democracy; presidential diplomacy; ussr/cuba",,,,,,Latin American Directorate Chronological Files,"August 16, 1989-August 31, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-013, August 16, 1989-August 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-013.pdf,https://catalog.archives.gov/id/470766450,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-013.pdf#page=54,chronological-print-470766450-54-memorandum
