chapter_number,country,year,country_risk_level,country_risk_score,coverage_signal,compiler_action,private_record_count,private_page_count,partial_private_records,private_source_mix,private_record_titles,print_candidate_count,high_priority_print_candidates,medium_priority_print_candidates,undated_or_out_of_scope_country_print_candidates,undated_or_out_of_scope_high_priority_print_candidates,print_source_mix,top_print_leads,public_statement_count,public_statement_titles,daily_diary_reference_count,linked_daily_diary_references,daily_diary_reference_titles,recommended_country_actions,risk_signals
3,Brazil,1991,Monitor,28,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,2,13,0,Presidential Memcon Files: 2,"1991-06-18 - Memcon - Meeting with Fernando Collor de Mello, President of Brazil, June 18, 1991; 1991-09-23 - Memcon - Meeting with Fernando Collor de Mello, President of the Federative Republic of Brazil at UNGA, Waldorf Astoria Hotel, New York",0,0,0,53,20,,,16,"1991-03-01 - Presidential Determination No. 91-22--Memorandum on Narcotics Control Certification; 1991-04-18 - Message to the Congress Reporting on Environmental Quality; 1991-05-21 - Statement by Deputy Press Secretary Popadiuk on President Bush's Meeting With President Luis Alberto Lacalle of Uruguay; 1991-06-18 - Remarks at the Welcoming Ceremony for President Fernando Collor de Mello of Brazil; 1991-06-18 - Remarks Prior to Discussions With President Fernando Collor de Mello of Brazil; 1991-06-18 - Toasts at the State Dinner for President Fernando Collor de Mello of Brazil; 1991-06-19 - Remarks by President Bush and President Collor of Brazil on Signing an Enterprise for the Americas Initiative Multilateral Trade Agreement; 1991-06-19 - Statement by Press Secretary Fitzwater on the Establishment of the Council on Trade and Investment; 1991-06-27 - Remarks Commemorating the First Anniversary of the Enterprise for the Americas Initiative and an Exchange With Reporters; 1991-07-15 - Exchange With Reporters in London, United Kingdom",19,6,"1991-01-25 - Presidential Daily Backup - [Presidential Daily Backup] 1/25/1991; 1991-02-19 - Presidential Daily Backup - [Presidential Daily Backup] 2/19/1991; 1991-02-19 - Presidential Daily Diary - [Presidential Daily Diary] 2/19/1991; 1991-05-21 - Presidential Daily Backup - [Presidential Daily Backup] 5/21/1991; 1991-06-12 - Presidential Daily Backup - [Presidential Daily Backup] 6/12/1991; 1991-06-15 - Presidential Daily Backup - [Presidential Daily Backup] 6/15/1991; 1991-06-18 - Presidential Daily Backup - [Presidential Daily Backup] 6/18/1991; 1991-06-18 - Presidential Daily Diary - [Presidential Daily Diary] 6/18/1991; 1991-06-19 - Presidential Daily Backup - [Presidential Daily Backup] 6/19/1991; 1991-06-19 - Presidential Daily Diary - [Presidential Daily Diary] 6/19/1991","Maintain as lower-risk, but still check high-priority print leads before final compilation decisions.","63 high-priority print leads require triage.; 66 public statements indicate substantial public diplomacy or policy activity."
3,Brazil,1992,Monitor,28,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,3,9,0,"Presidential Telcon Files: 2; Scowcroft extract: 1","1992-03-25 - Telcon - Telcon with Fernando Collor of Brazil on March 25, 1992 (U); 1992-05-12 - Telcon - Telcon with Fernando Coller, President of Brazil, May 12, 1992; 1992-07-10 - Telcon - Telcon with Fernando Collor, President of Brazil, on July 10, 1992",0,0,0,53,20,,,16,"1992-02-15 - Remarks and a Question-and-Answer Session in Goffstown, New Hampshire; 1992-02-16 - Remarks and a Question-and-Answer Session in Hollis, New Hampshire; 1992-02-28 - Presidential Determination No. 92-18--Memorandum on Certification for Major Narcotics Producing and Transit Countries; 1992-03-22 - The President's News Conference With Chancellor Helmut Kohl of Germany; 1992-03-24 - Message to the Congress on Environmental Goals; 1992-04-10 - The President's News Conference; 1992-04-23 - Remarks to the Forum of the Americas; 1992-05-08 - Nomination of Alexander Fletcher Watson To Be United States Ambassador to Brazil; 1992-05-12 - Remarks and an Exchange With Reporters Prior to Discussions With United Nations Secretary-General Boutros Boutros-Ghali; 1992-05-12 - Statement on Attending the United Nations Conference on Environment and Development in Rio de Janeiro, Brazil",29,6,"1992-01-22 - Presidential Daily Backup - [Presidential Daily Backup] 1/22/1992; 1992-03-25 - Presidential Daily Backup - [Presidential Daily Backup] 3/25/1992; 1992-03-25 - Presidential Daily Diary - [Presidential Daily Diary] 3/25/1992; 1992-04-23 - Presidential Daily Backup - [Presidential Daily Backup] 4/23/1992; 1992-04-27 - Presidential Daily Diary - [Presidential Daily Diary] 4/27/1992; 1992-05-01 - Presidential Daily Backup - [Presidential Daily Backup] 5/1/1992; 1992-05-01 - Presidential Daily Diary - [Presidential Daily Diary] 5/1/1992; 1992-05-08 - Presidential Daily Backup - [Presidential Daily Backup] 5/8/1992; 1992-05-12 - Presidential Daily Backup - [Presidential Daily Backup] 5/12/1992; 1992-05-12 - Presidential Daily Diary - [Presidential Daily Diary] 5/12/1992","Maintain as lower-risk, but still check high-priority print leads before final compilation decisions.","63 high-priority print leads require triage.; 66 public statements indicate substantial public diplomacy or policy activity."
4,Chile,1989,Critical,95,"No private records; high print pressure",Prioritize high-priority print leads and adjacent NSC/State files for this country-year before closing the chapter chronology.,0,0,0,,,30,20,7,17,12,"Latin American Affairs Directorate Subject Files: 15; Latin American Directorate Chronological Files: 15","March 3, 1989 - High - 90 - Guidance for Ambassador Gillespie (U); March 6, 1989 - High - 90 - Guidance for Ambassador Gillespie (U); May 3, 1989 - High - 90 - Request by Ambassador Gillespie for Meeting With; May 3, 1989 - High - 90 - Request by Ambassador Gillespie for Meeting With; August 18, 1989 - High - 90 - Request That You Meet with the Chilean Chief of; August 18, 1989 - High - 90 - Request That You Meet with the Chilean Chief of; February 3, 1989 - High - 78 - Your ecting with US Ambassador to Chile,; February 17, 1989 - High - 78 - Chile Policy; February 17, 1989 - High - 78 - Chile Policy; February 17, 1989 - High - 78 - Chile Policy",2,"1989-03-17 - The President's News Conference; 1989-05-03 - Remarks Following a Meeting With Polish and Chilean Human Rights Leaders",12,0,"1989-02-16 - Presidential Daily Backup - [Presidential Daily Backup] 2/16/1989; 1989-03-17 - Presidential Daily Backup - [Presidential Daily Backup] 3/17/1989; 1989-03-30 - Presidential Daily Backup - [Presidential Daily Backup] 3/30/1989; 1989-05-03 - Presidential Daily Backup - [Presidential Daily Backup] 5/3/1989; 1989-05-03 - Presidential Daily Diary - [Presidential Daily Diary] 5/3/1989; 1989-05-11 - Presidential Daily Backup - [Presidential Daily Backup] 5/11/1989; 1989-05-11 - Presidential Daily Diary - [Presidential Daily Diary] 5/11/1989; 1989-10-25 - Presidential Daily Backup - [Presidential Daily Backup] 10/25/1989; 1989-10-25 - Presidential Daily Diary - [Presidential Daily Diary] 10/25/1989; 1989-11-06 - Presidential Daily Backup - [Presidential Daily Backup] 11/6/1989","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 32 high-priority print leads exist against a thin private-record chapter.; 41 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
4,Chile,1990,Critical,95,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,2,9,0,"Presidential Memcon Files: 1; Presidential Telcon Files: 1","1990-03-30 - Telcon - PRESIDENT BUSH'S TELEPHONE CALL TO PRESIDENT AYLWIN, March 30, 1990; 1990-10-02 - Memcon - Memorandum of Conversation with President Patricio Aylwin of Chile, October 2, 1990",1,0,1,17,12,Latin American Affairs Directorate Subject Files: 1,,16,"1990-01-02 - Remarks to the Republican National Committee; 1990-03-21 - Statement on Namibian Independence; 1990-04-02 - Remarks at a Fundraising Dinner for Gubernatorial Candidate George Voinovich in Cincinnati, Ohio; 1990-04-19 - News Conference of President Bush and President Frangois Mitterrand of France in Key Largo, Florida; 1990-05-22 - Remarks to the Council of the Americas; 1990-07-09 - Remarks at the Welcoming Ceremony for the Houston Economic Summit; 1990-10-02 - Statement by Press Secretary Fitzwater on President Bush's Meeting With President Patricio Aylwin Azocar of Chile; 1990-11-30 - Written Responses to Questions Submitted by the South American Press; 1990-12-04 - Question-and-Answer Session With Reporters in Montevideo, Uruguay; 1990-12-06 - Question-and-Answer Session With Reporters in Santiago, Chile",24,10,"1990-02-21 - Presidential Daily Backup - [Presidential Daily Backup] 2/21/1990; 1990-02-21 - Presidential Daily Diary - [Presidential Daily Diary] 2/21/1990; 1990-03-21 - Presidential Daily Backup - [Presidential Daily Backup] 3/21/1990; 1990-03-30 - Presidential Daily Backup - [Presidential Daily Backup] 3/30/1990; 1990-03-30 - Presidential Daily Diary - [Presidential Daily Diary] 3/30/1990; 1990-04-02 - Presidential Daily Backup - [Presidential Daily Backup] 4/2/1990; 1990-04-19 - Presidential Daily Backup - [Presidential Daily Backup] 4/19/1990; 1990-05-22 - Presidential Daily Backup - [Presidential Daily Backup] 5/22/1990; 1990-05-29 - Presidential Daily Backup - [Presidential Daily Backup] 5/29/1990; 1990-05-29 - Presidential Daily Diary - [Presidential Daily Diary] 5/29/1990","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 32 high-priority print leads exist against a thin private-record chapter.; 41 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
4,Chile,1991,Critical,95,"No private records; public-private mismatch","Map public statements to surrounding briefing papers, memoranda, cables, and schedule records for this country-year.",0,0,0,,,0,0,0,17,12,,,6,"1991-02-04 - Letter to Congressional Leaders on the Reinstatement of Beneficiary Trade Status for Chile; 1991-02-04 - Statement by Press Secretary Fitzwater on Beneficiary Trade Status for the Central African Republic, Chile, Namibia, and Paraguay; 1991-05-20 - Message on Cuban Independence Day; 1991-06-27 - Remarks Commemorating the First Anniversary of the Enterprise for the Americas Initiative and an Exchange With Reporters; 1991-09-24 - Nomination of Curtis Warren Kamman To Be United States Ambassador to the Republic of Chile; 1991-11-14 - Remarks at the Welcoming Ceremony for President Carlos Menem of Argentina",5,1,"1991-05-16 - Presidential Daily Backup - [Presidential Daily Backup] 5/16/1991; 1991-06-18 - Presidential Daily Backup - [Presidential Daily Backup] 6/18/1991; 1991-06-27 - Presidential Daily Backup - [Presidential Daily Backup] 6/27/1991; 1991-06-27 - Presidential Daily Diary - [Presidential Daily Diary] 6/27/1991; 1991-07-10 - Presidential Daily Backup - [Presidential Daily Backup] 7/10/1991","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 32 high-priority print leads exist against a thin private-record chapter.; 41 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
4,Chile,1992,Critical,95,Private record includes partial release,Check parallel files and later releases for less-redacted copies before selecting or annotating.,1,7,1,Presidential Memcon Files: 1,"1992-05-13 - Memcon - Meeting with Patricio Aylwin Azocar, President of the Republic of Chile, May 13, 1992",0,0,0,17,12,,,17,"1992-04-07 - Message to the Congress Reporting on Economic Sanctions Against Haiti; 1992-04-23 - Remarks to the Forum of the Americas; 1992-05-13 - Remarks at the Arrival Ceremony for President Patricio Aylwin of Chile; 1992-05-13 - Remarks at the State Dinner for President Patricio Aylwin of Chile; 1992-05-13 - Statement by Press Secretary Fitzwater on the President's Meeting With President Patricio Aylwin of Chile; 1992-05-17 - Remarks at the University of Notre Dame Commencement Ceremony in South Bend, Indiana; 1992-06-12 - Address to the United Nations Conference on Environment and Development in Rio de Janeiro, Brazil; 1992-09-10 - Remarks and a Question-and-Answer Session With the Economic Club of Detroit in Michigan; 1992-09-11 - Remarks at Missouri Southern State College in Joplin, Missouri; 1992-09-11 - Remarks at the Job Corps Center in Excelsior Springs, Missouri",7,3,"1992-04-21 - Presidential Daily Backup - [Presidential Daily Backup] 4/21/1992; 1992-04-23 - Presidential Daily Backup - [Presidential Daily Backup] 4/23/1992; 1992-05-12 - Presidential Daily Backup - [Presidential Daily Backup] 5/12/1992; 1992-05-13 - Presidential Daily Backup - [Presidential Daily Backup] 5/13/1992; 1992-05-13 - Presidential Daily Diary - [Presidential Daily Diary] 5/13/1992; 1992-09-08 - Presidential Daily Backup - [Presidential Daily Backup] 9/8/1992; 1992-12-04 - Presidential Daily Backup - [Presidential Daily Backup] 12/04/1992","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.; Flag partial releases for possible replacement, re-review, or annotation.","Four or fewer released private records are in the country chapter.; 32 high-priority print leads exist against a thin private-record chapter.; 41 public statements contrast with sparse private records.; 1 private record(s) are partial releases."
5,Colombia,1989,Monitor,26,Private record includes partial release,Check parallel files and later releases for less-redacted copies before selecting or annotating.,11,42,1,"Presidential Telcon Files: 9; Presidential Memcon Files: 1; Scowcroft extract: 1","1989-03-08 - Telcon - President's Telephone Call to Colombian President Barco, March 8, 1989; 1989-04-14 - Telcon - The President's Telephone Conversation with President Barco of Colombia, April 14, 1989; 1989-05-16 - Telcon - Telcon with President Barco of Colombia, May 16, 1989; 1989-05-31 - Telcon - Telephone Conversation Between the President and President Barco of Colombia; 1989-08-21 - Telcon - Telephone Conversation with Virgilio Barco Vargas, President of Colombia; 1989-08-28 - Telcon - Telephone Conversation with Virgilio Barco Vargas, President of Colombia; 1989-09-26 - Telcon - Telephone Conversation with President Virgilio Barco of Colombia, September 26, 1989; 1989-09-28 - Memcon - Meeting with President Virgilio Barco of Colombia, September 28, 1989; 1989-10-30 - Telcon - Telephone Conversation with President Barco of Colombia, October 30, 1989; 1989-11-27 - Telcon - Telephone Conversation with President Barco of Colombia, November 27, 1989; 1989-12-20 - Telcon - Telephone Conversation with President Barco of Colombia, December 20, 1989",113,71,39,55,25,"Latin American Affairs Directorate Subject Files: 65; Latin American Directorate Chronological Files: 48","April 14, 1989 - High - 90 - Telephone Call to President Barco of Colombia; April 14, 1989 - High - 90 - Telephone Call to President Barco of Colombia; May 15, 1989 - High - 90 - Panama -- Recommendation That President Bush Telephone; May 16, 1989 - High - 90 - Points to Be Made for the President’s Telephone; May 16, 1989 - High - 90 - Points to Be Made for the President’s Telephone; August 21, 1989 - High - 90 - Telephone Call by the President to President Barco; September 2, 1989 - High - 90 - Talking Points on Narcotics Cooperation; September 16, 1989 - High - 90 - Meeting with President Bush for the Chiefs of Mission; September 18, 1989 - High - 90 - Request for Meeting with the President for U.S.; September 18, 1989 - High - 90 - Request for Meeting with the President for U.S.",29,"1989-03-03 - Remarks on Drug Trafficking Prior to a Luncheon With Administration Officials; 1989-03-09 - Remarks to Drug Enforcement Administration Officers in New York, New York; 1989-03-22 - Remarks to the Law Enforcement Community in Wilmington, Delaware; 1989-03-28 - Remarks and an Informal Exchange With Reporters Following a Meeting With Administration Officials; 1989-04-27 - Remarks at the International Drug Enforcement Conference in Miami, Florida; 1989-07-28 - The President's News Conference; 1989-08-15 - The President's News Conference; 1989-08-19 - Statement on the Assassination of Luis Carlos Galan and Colombia- United States Relations; 1989-08-21 - Statement by Press Secretary Fitzwater on President Bush's Telephone Conversation With President Virgilio Barco Vargas of Colombia; 1989-08-23 - The President's News Conference",59,26,"1989-03-03 - Presidential Daily Backup - [Presidential Daily Backup] 3/3/1989; 1989-03-03 - Presidential Daily Diary - [Presidential Daily Diary] 3/3/1989; 1989-03-08 - Presidential Daily Backup - [Presidential Daily Backup] 3/8/1989; 1989-03-08 - Presidential Daily Diary - [Presidential Daily Diary] 3/8/1989; 1989-03-10 - Presidential Daily Backup - [Presidential Daily Backup] 3/10/1989; 1989-03-22 - Presidential Daily Backup - [Presidential Daily Backup] 3/22/1989; 1989-03-28 - Presidential Daily Backup - [Presidential Daily Backup] 3/28/1989; 1989-04-14 - Presidential Daily Backup - [Presidential Daily Backup] 4/14/1989; 1989-04-14 - Presidential Daily Diary - [Presidential Daily Diary] 4/14/1989; 1989-04-27 - Presidential Daily Backup - [Presidential Daily Backup] 4/27/1989","Flag partial releases for possible replacement, re-review, or annotation.","96 high-priority print leads require triage.; 1 private record(s) are partial releases."
5,Colombia,1990,Monitor,26,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,9,48,0,"Presidential Memcon Files: 3; Presidential Telcon Files: 3; Scowcroft extract: 3","1990-01-28 - Telcon - Telephone Conversation with President Barco of Colombia, January 28, 1990; 1990-04-27 - Telcon - Telephone Conversation with President Virgilio Barco of Colombia, April 27, 1990; 1990-06-05 - Memcon - Memorandum of Conversation with President Virgilio Barco of Colombia, June 5, 1990; 1990-07-13 - Memcon - Meeting with President-Elect Gaviria of Colombia (U); 1990-07-13 - Memcon - Meeting with President-Elect Gaviria of Colombia, July 13, 1990; 1990-09-29 - Memcon - Memorandum of Conversation with President Cesar Gaviria Trujillo of Colombia (UV); 1990-09-29 - Memcon - Memorandum of Conversation with President Cesar Gaviria Trujillo of Colombia, September 29, 1990; 1990-11-23 - Telcon - Telephone Conversation -with President Gaviria of Colombia, November 23, 1990; 1990-11-23 - Telcon - Telephone Conversation with President Gaviria of Colombia (U)",0,0,0,55,25,,,29,"1990-01-10 - Statement by Deputy Press Secretary Popadiuk on President Bush's Telephone Conversation With President Virgilio Barco Vargas of Colombia; 1990-01-17 - Remarks and an Exchange With Reporters Prior to a Meeting With Federal Law Enforcement Officials; 1990-01-17 - Remarks on the United States Military Action in Panama and an Exchange With Reporters; 1990-01-24 - The President's News Conference; 1990-01-25 - Remarks and a Question-and-Answer Session at a Luncheon for Newspaper Publishers; 1990-02-07 - Remarks and a Question-and-Answer Session at a Luncheon Hosted by the Commonwealth Club in San Francisco, California; 1990-02-12 - The President's News Conference; 1990-02-15 - Statement on the Drug Summit in Cartagena, Colombia; 1990-02-15 - The President's News Conference Following the Drug Summit in Cartagena, Colombia; 1990-02-21 - Remarks and a Question-and-Answer Session at the Annual Dinner of the Business Council",45,18,"1990-01-08 - Presidential Daily Backup - [Presidential Daily Backup] 1/8/1990; 1990-01-10 - Presidential Daily Backup - [Presidential Daily Backup] 1/10/1990; 1990-01-10 - Presidential Daily Diary - [Presidential Daily Diary] 1/10/1990; 1990-01-19 - Presidential Daily Backup - [Presidential Daily Backup] 1/19/1990; 1990-01-23 - Presidential Daily Backup - [Presidential Daily Backup] 1/23/1990; 1990-01-24 - Presidential Daily Backup - [Presidential Daily Backup] 1/24/1990; 1990-01-25 - Presidential Daily Backup - [Presidential Daily Backup] 1/25/1990; 1990-01-28 - Presidential Daily Backup - [Presidential Daily Backup] 1/28/1990; 1990-01-28 - Presidential Daily Diary - [Presidential Daily Diary] 1/28/1990; 1990-02-07 - Presidential Daily Backup - [Presidential Daily Backup] 2/7/1990","Flag partial releases for possible replacement, re-review, or annotation.","96 high-priority print leads require triage.; 1 private record(s) are partial releases."
5,Colombia,1991,Monitor,26,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,4,20,0,"Presidential Telcon Files: 2; Scowcroft extract: 2","1991-02-26 - Memcon - Meeting with President Cesar Gaviria of Colombia (U); 1991-02-26 - Memcon - Meeting with President Cesar Gaviria of Colombia, February 26, 1991; 1991-06-20 - Telcon - Telcon with Cesar Gaviria Trujillo, President of Colombia, June 20, 1991; 1991-06-20 - Telcon - Telcon with Cesar Gaviria Trujillo, President of Colombia, June 20, 1991",0,0,0,55,25,,,8,"1991-02-26 - Remarks Following Discussions With President Cesar Gaviria Trujillo of Colombia; 1991-03-01 - Presidential Determination No. 91-22--Memorandum on Narcotics Control Certification; 1991-05-15 - Nomination of Morris D. Busby To Be United States Ambassador to Colombia; 1991-06-27 - Remarks Commemorating the First Anniversary of the Enterprise for the Americas Initiative and an Exchange With Reporters; 1991-10-28 - Statement by Press Secretary Fitzwater on the Proposed Antinarcotics Summit; 1991-11-01 - Interview With Dave Ward of KTRK-TV in Houston, Texas; 1991-11-12 - Remarks at a Bush-Quayle Fundraising Luncheon in New York City; 1991-12-04 - Statement on Signing Legislation on Trade and Unemployment Benefits",17,6,"1991-02-19 - Presidential Daily Backup - [Presidential Daily Backup] 2/19/1991; 1991-02-26 - Presidential Daily Backup - [Presidential Daily Backup] 2/26/1991; 1991-02-26 - Presidential Daily Diary - [Presidential Daily Diary] 2/26/1991; 1991-02-27 - Presidential Daily Backup - [Presidential Daily Backup] 2/27/1991; 1991-06-10 - Presidential Daily Backup - [Presidential Daily Backup] 6/10/1991; 1991-06-20 - Presidential Daily Backup - [Presidential Daily Backup] 6/20/1991; 1991-06-20 - Presidential Daily Diary - [Presidential Daily Diary] 6/20/1991; 1991-06-26 - Presidential Daily Backup - [Presidential Daily Backup] 6/26/1991; 1991-06-27 - Presidential Daily Backup - [Presidential Daily Backup] 6/27/1991; 1991-07-10 - Presidential Daily Backup - [Presidential Daily Backup] 7/10/1991","Flag partial releases for possible replacement, re-review, or annotation.","96 high-priority print leads require triage.; 1 private record(s) are partial releases."
5,Colombia,1992,Monitor,26,"No private records; public-private mismatch","Map public statements to surrounding briefing papers, memoranda, cables, and schedule records for this country-year.",0,0,0,,,0,0,0,55,25,,,21,"1992-01-22 - Statement by Press Secretary Fitzwater Announcing the Drug Summit in San Antonio, Texas; 1992-01-27 - Remarks at a Drug Control Strategy Meeting; 1992-02-26 - Exchange With Reporters Prior to Discussions With President Cesar Gaviria of Colombia in San Antonio; 1992-02-26 - Remarks at the State Dinner for Drug Summit Participants in San Antonio; 1992-02-27 - Declaration of San Antonio; 1992-02-27 - Exchange With Reporters Following the News Conference in San Antonio; 1992-02-27 - Text of Remarks at the Opening Session of the Drug Summit in San Antonio; 1992-02-27 - The President's News Conference With the Drug Summit Participants in San Antonio; 1992-02-28 - Presidential Determination No. 92-18--Memorandum on Certification for Major Narcotics Producing and Transit Countries; 1992-04-02 - Message to the Senate Transmitting the 1985 Partial Revision of the Radio Regulations",10,0,"1992-01-27 - Presidential Daily Backup - [Presidential Daily Backup] 1/27/1992; 1992-02-26 - Presidential Daily Backup - [Presidential Daily Backup] 2/26/1992; 1992-02-27 - Presidential Daily Backup - [Presidential Daily Backup] 2/27/1992; 1992-03-04 - Presidential Daily Backup - [Presidential Daily Backup] 3/4/1992; 1992-03-16 - Presidential Daily Backup - [Presidential Daily Backup] 3/16/1992; 1992-05-08 - Presidential Daily Backup - [Presidential Daily Backup] 5/8/1992; 1992-07-23 - Presidential Daily Backup - [Presidential Daily Backup] 7/23/1992; 1992-09-09 - Presidential Daily Backup - [Presidential Daily Backup] 9/9/1992; 1992-09-20 - Presidential Daily Backup - [Presidential Daily Backup] 9/20/1992; 1992-12-04 - Presidential Daily Backup - [Presidential Daily Backup] 12/04/1992","Flag partial releases for possible replacement, re-review, or annotation.","96 high-priority print leads require triage.; 1 private record(s) are partial releases."
6,Ecuador,1989,High,68,"No private records; high print pressure",Prioritize high-priority print leads and adjacent NSC/State files for this country-year before closing the chapter chronology.,0,0,0,,,21,9,12,12,2,"Latin American Affairs Directorate Subject Files: 14; Latin American Directorate Chronological Files: 7","October 30, 1989 - High - 90 - Telephone Conversation with President Barco; February 8, 1989 - High - 72 - Memorandum of Conversation Between the President; February 8, 1989 - High - 72 - Memorandum of Conversation Between the President; March 14, 1989 - High - 72 - Request by Mrs. Borja for Meeting with Mrs. Bush; March 16, 1989 - High - 72 - Request by Mrs. Borja for Meeting with Mrs. Bush; March 22, 1989 - High - 72 - Request for Meeting Between Mrs. Bush and Wife of; May 26, 1989 - High - 72 - Presidential Response to Job Recommendation by; May 26, 1989 - High - 72 - Presidential Response to Job Recommendation by; June 15, 1989 - High - 72 - Response to Letter from Representative Newt",0,,11,1,"1989-02-02 - Presidential Daily Backup - [Presidential Daily Backup] 2/2/1989; 1989-02-06 - Presidential Daily Backup - [Presidential Daily Backup] 2/6/1989; 1989-02-07 - Presidential Daily Backup - [Presidential Daily Backup] 2/7/1989; 1989-02-07 - Presidential Daily Diary - [Presidential Daily Diary] 2/7/1989; 1989-09-06 - Presidential Daily Backup - [Presidential Daily Backup] 9/6/1989; 1989-09-06 - Presidential Daily Diary - [Presidential Daily Diary] 9/6/1989; 1989-09-25 - Presidential Daily Backup - [Presidential Daily Backup] 9/25/1989; 1989-10-27 - Presidential Daily Backup - [Presidential Daily Backup] 10/27/1989; 1989-11-03 - Presidential Daily Backup - [Presidential Daily Backup] 11/3/1989; 1989-11-14 - Presidential Daily Backup - [Presidential Daily Backup] 11/14/1989","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.","Four or fewer released private records are in the country chapter.; 27 public statements contrast with sparse private records.; Private records come from a single source bucket."
6,Ecuador,1990,High,68,Coverage present,Use existing private records as the anchor and scan leads only for annotation or missing-decision context.,2,15,0,Presidential Memcon Files: 2,"1990-07-23 - Memcon - Meeting with President Rodrigo Borja of Ecuador, July 23, 1990 (1 of 2); 1990-07-23 - Memcon - Meeting with President Rodrigo Borja of Ecuador, July 23, 1990 (2 of 2)",0,0,0,12,2,,,9,"1990-02-28 - Remarks at a Fundraising Dinner for Gubernatorial Candidate Pete Wilson in San Francisco, California; 1990-03-01 - Statement by Press Secretary Fitzwater on Narcotics Control Certification; 1990-07-23 - Remarks Following Discussions With President Rodrigo Borja Cevallos of Ecuador; 1990-08-20 - Statement on Signing the Customs and Trade Act of 1990; 1990-09-14 - Remarks on Transmitting the Enterprise for the Americas Initiative Act of 1990; 1990-10-05 - Message to the Congress Transmitting Proposed Legislation on Trade Preference for Andean Countries; 1990-10-05 - Remarks on Transmitting to the Congress Proposed Legislation on Trade Preference for Andean Countries; 1990-11-30 - Written Responses to Questions Submitted by the South American Press; 1990-12-07 - Toast at a State Dinner in Caracas, Venezuela",19,4,"1990-01-04 - Presidential Daily Backup - [Presidential Daily Backup] 1/4/1990; 1990-01-12 - Presidential Daily Backup - [Presidential Daily Backup] 1/12/1990; 1990-02-03 - Presidential Daily Backup - [Presidential Daily Backup] 2/3/1990; 1990-02-24 - Presidential Daily Backup - [Presidential Daily Backup] 2/24/1990; 1990-03-17 - Presidential Daily Backup - [Presidential Daily Backup] 3/17/1990; 1990-04-07 - Presidential Daily Backup - [Presidential Daily Backup] 4/7/1990; 1990-06-24 - Presidential Daily Backup - [Presidential Daily Backup] 6/24/1990; 1990-06-27 - Presidential Daily Backup - [Presidential Daily Backup] 6/27/1990; 1990-07-21 - Presidential Daily Backup - [Presidential Daily Backup] 7/21/1990; 1990-07-22 - Presidential Daily Backup - [Presidential Daily Backup] 7/22/1990","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.","Four or fewer released private records are in the country chapter.; 27 public statements contrast with sparse private records.; Private records come from a single source bucket."
6,Ecuador,1991,High,68,"No private records; public-private mismatch","Map public statements to surrounding briefing papers, memoranda, cables, and schedule records for this country-year.",0,0,0,,,0,0,0,12,2,,,4,"1991-03-01 - Presidential Determination No. 91-22--Memorandum on Narcotics Control Certification; 1991-06-27 - Remarks Commemorating the First Anniversary of the Enterprise for the Americas Initiative and an Exchange With Reporters; 1991-10-28 - Statement by Press Secretary Fitzwater on the Proposed Antinarcotics Summit; 1991-12-04 - Statement on Signing Legislation on Trade and Unemployment Benefits",6,0,"1991-06-27 - Presidential Daily Backup - [Presidential Daily Backup] 6/27/1991; 1991-07-10 - Presidential Daily Backup - [Presidential Daily Backup] 7/10/1991; 1991-08-05 - Presidential Daily Backup - [Presidential Daily Backup] 8/5/1991; 1991-10-18 - Presidential Daily Backup - [Presidential Daily Backup] 10/18/1991; 1991-11-27 - Presidential Daily Backup - [Presidential Daily Backup] 11/27/1991; 1991-12-13 - Presidential Daily Backup - [Presidential Daily Backup] 12/13/1991","Use high-priority print leads to test whether the current private record set is only a presidential-contact skeleton.; Build a public-private chronology and look for missing decision documents around statement dates.","Four or fewer released private records are in the country chapter.; 27 public statements contrast with sparse private records.; Private records come from a single source bucket."
